类别：所有类别

周,debt: (美国)
2015-01-04,36
2015-01-11,39
2015-01-18,41
2015-01-25,44
2015-02-01,45
2015-02-08,43
2015-02-15,40
2015-02-22,43
2015-03-01,41
2015-03-08,41
2015-03-15,40
2015-03-22,40
2015-03-29,40
2015-04-05,41
2015-04-12,44
2015-04-19,44
2015-04-26,42
2015-05-03,40
2015-05-10,39
2015-05-17,38
2015-05-24,33
2015-05-31,37
2015-06-07,39
2015-06-14,39
2015-06-21,40
2015-06-28,56
2015-07-05,55
2015-07-12,47
2015-07-19,39
2015-07-26,38
2015-08-02,41
2015-08-09,41
2015-08-16,39
2015-08-23,39
2015-08-30,39
2015-09-06,39
2015-09-13,45
2015-09-20,43
2015-09-27,44
2015-10-04,44
2015-10-11,44
2015-10-18,45
2015-10-25,48
2015-11-01,47
2015-11-08,45
2015-11-15,42
2015-11-22,32
2015-11-29,43
2015-12-06,44
2015-12-13,39
2015-12-20,28
2015-12-27,33
2016-01-03,42
2016-01-10,46
2016-01-17,45
2016-01-24,48
2016-01-31,54
2016-02-07,52
2016-02-14,100
2016-02-21,63
2016-02-28,52
2016-03-06,51
2016-03-13,48
2016-03-20,46
2016-03-27,47
2016-04-03,50
2016-04-10,51
2016-04-17,49
2016-04-24,49
2016-05-01,50
2016-05-08,50
2016-05-15,45
2016-05-22,41
2016-05-29,37
2016-06-05,52
2016-06-12,39
2016-06-19,41
2016-06-26,40
2016-07-03,38
2016-07-10,40
2016-07-17,46
2016-07-24,46
2016-07-31,41
2016-08-07,39
2016-08-14,38
2016-08-21,40
2016-08-28,39
2016-09-04,39
2016-09-11,44
2016-09-18,42
2016-09-25,52
2016-10-02,46
2016-10-09,49
2016-10-16,55
2016-10-23,48
2016-10-30,46
2016-11-06,56
2016-11-13,51
2016-11-20,36
2016-11-27,50
2016-12-04,48
2016-12-11,43
2016-12-18,34
2016-12-25,31
2017-01-01,41
2017-01-08,48
2017-01-15,56
2017-01-22,57
2017-01-29,52
2017-02-05,49
2017-02-12,48
2017-02-19,54
2017-02-26,57
2017-03-05,49
2017-03-12,49
2017-03-19,48
2017-03-26,48
2017-04-02,47
2017-04-09,47
2017-04-16,49
2017-04-23,51
2017-04-30,50
2017-05-07,44
2017-05-14,43
2017-05-21,40
2017-05-28,39
2017-06-04,40
2017-06-11,39
2017-06-18,41
2017-06-25,41
2017-07-02,38
2017-07-09,42
2017-07-16,43
2017-07-23,42
2017-07-30,48
2017-08-06,43
2017-08-13,39
2017-08-20,42
2017-08-27,41
2017-09-03,46
2017-09-10,45
2017-09-17,47
2017-09-24,48
2017-10-01,48
2017-10-08,47
2017-10-15,49
2017-10-22,46
2017-10-29,46
2017-11-05,45
2017-11-12,46
2017-11-19,34
2017-11-26,49
2017-12-03,49
2017-12-10,44
2017-12-17,42
2017-12-24,34
2017-12-31,39
2018-01-07,44
2018-01-14,44
2018-01-21,48
2018-01-28,51
2018-02-04,52
2018-02-11,50
2018-02-18,48
2018-02-25,50
2018-03-04,48
2018-03-11,46
2018-03-18,50
2018-03-25,46
2018-04-01,48
2018-04-08,50
2018-04-15,49
2018-04-22,49
2018-04-29,48
2018-05-06,44
2018-05-13,41
2018-05-20,41
2018-05-27,40
2018-06-03,43
2018-06-10,43
2018-06-17,41
2018-06-24,42
2018-07-01,37
2018-07-08,43
2018-07-15,44
2018-07-22,44
2018-07-29,45
2018-08-05,43
2018-08-12,43
2018-08-19,41
2018-08-26,42
2018-09-02,42
2018-09-09,47
2018-09-16,48
2018-09-23,48
2018-09-30,47
2018-10-07,46
2018-10-14,51
2018-10-21,50
2018-10-28,48
